toi,tid,coverage_status,product_count,sectors,error
1637.01,286355915,available,3,TESS Sector 18;TESS Sector 58;TESS Sector 85,
1639.01,348673213,available,1,TESS Sector 18,
164.01,79395355,not_found,0,,
1640.01,396562848,available,10,TESS Sector 18;TESS Sector 19;TESS Sector 25;TESS Sector 26;TESS Sector 52;TESS Sector 53;TESS Sector 59;TESS Sector 73;TESS Sector 79;TESS Sector 86,
1644.01,22843856,available,7,TESS Sector 18;TESS Sector 42;TESS Sector 43;TESS Sector 44;TESS Sector 58;TESS Sector 70;TESS Sector 71,
1645.01,184679932,available,3,TESS Sector 18;TESS Sector 58;TESS Sector 85,
1646.01,387527558,available,4,TESS Sector 17;TESS Sector 18;TESS Sector 49;TESS Sector 52,
1647.01,154927364,available,4,TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 53,
1648.01,376353509,available,4,TESS Sector 52;TESS Sector 59;TESS Sector 79;TESS Sector 86,
1649.01,116608612,available,5,TESS Sector 43;TESS Sector 44;TESS Sector 45;TESS Sector 59;TESS Sector 73,
165.01,350743714,available,28,TESS Sector 03;TESS Sector 04;TESS Sector 05;TESS Sector 06;TESS Sector 07;TESS Sector 08;TESS Sector 09;TESS Sector 10;TESS Sector 11;TESS Sector 12;TESS Sector 13;TESS Sector 61;TESS Sector 62;TESS Sector 63;TESS Sector 64;TESS Sector 65;TESS Sector 66;TESS Sector 67;TESS Sector 68;TESS Sector 87;TESS Sector 88;TESS Sector 89;TESS Sector 93;TESS Sector 94;TESS Sector 95;TESS Sector 96;TESS Sector 97;TESS Sector 98,
1650.01,122485078,available,1,TESS Sector 73,
1652.01,154867950,available,9,TESS Sector 21;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 53;TESS Sector 59;TESS Sector 60;TESS Sector 74;TESS Sector 79,
1657.01,27677846,not_found,0,,
1658.01,286561122,available,1,TESS Sector 59,
1659.01,288631580,available,21,TESS Sector 14;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 52;TESS Sector 53;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 74;TESS Sector 78;TESS Sector 79;TESS Sector 81;TESS Sector 85;TESS Sector 86,
1660.01,311121985,available,3,TESS Sector 19;TESS Sector 59;TESS Sector 73,
1661.01,312122956,available,5,TESS Sector 43;TESS Sector 44;TESS Sector 45;TESS Sector 71;TESS Sector 72,
1662.01,339538183,not_found,0,,
1663.01,353367071,available,5,TESS Sector 43;TESS Sector 44;TESS Sector 45;TESS Sector 72;TESS Sector 73,
1665.01,354006740,not_found,0,,
1666.01,368536386,not_found,0,,
1667.01,409183335,not_found,0,,
1668.01,417705690,available,9,TESS Sector 19;TESS Sector 24;TESS Sector 25;TESS Sector 52;TESS Sector 58;TESS Sector 59;TESS Sector 73;TESS Sector 78;TESS Sector 79,
1669.01,428679607,available,11,TESS Sector 19;TESS Sector 20;TESS Sector 25;TESS Sector 26;TESS Sector 52;TESS Sector 53;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 79;TESS Sector 86,
1670.01,441739020,available,40,TESS Sector 15;TESS Sector 16;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1670.02,441739020,available,40,TESS Sector 15;TESS Sector 16;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1671.01,459903429,available,7,TESS Sector 40;TESS Sector 47;TESS Sector 52;TESS Sector 53;TESS Sector 73;TESS Sector 74;TESS Sector 79,
1672.01,468828873,not_found,0,,
1673.01,470315428,available,1,TESS Sector 59,
1674.01,73104318,not_found,0,,
1678.01,96291218,available,3,TESS Sector 43;TESS Sector 44;TESS Sector 71,
1679.01,9837861,not_found,0,,
