toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
"1013.01",97700520,"FP",5.4255548,2459232.2483220,"2019-07-24 15:58:33","2021-10-29 12:59:15",107.2860630,-31.9335230,7.6095000,8868.7000000,
"1014.01",96246348,"FP",1.4095184,2459985.6570410,"2019-07-24 15:58:33","2023-11-20 10:08:02",103.5616020,-34.2228200,7.6780000,9307.0000000,
"1015.01",155044736,"FP",1.3730466,2459963.6100650,"2019-04-01 16:51:56","2023-12-20 16:02:19",122.8959640,-27.9718960,10.7069000,4897.0000000,6.7996101
"1016.01",175310067,"FP",12.6889415,2459238.8311380,"2019-04-01 16:52:03","2024-09-09 10:08:01",116.1107710,-36.0982850,10.6257000,7601.0000000,1.5364100
"1017.01",182943944,"FP",1.1042200,2458518.9653600,"2019-07-24 17:08:12","2021-10-29 12:59:15",124.7264110,-37.7832500,10.6019000,6995.2000000,1.6100000
"1018.01",291555748,"FP",4.9591200,2458492.7807800,"2019-04-01 16:52:01","2021-10-29 12:59:15",111.7160190,-50.2665670,10.6254000,5889.0000000,2.0000000
"1019.01",341420329,"PC",5.2341008,2459232.4468640,"2019-07-24 17:08:12","2024-02-16 10:08:02",120.1479940,-54.8785520,10.6348000,7645.0000000,1.5620300
"102.01",149603524,"KP",4.4119372,2460982.0654620,"2019-05-07 17:42:37","2026-04-17 10:08:01",87.1398210,-63.9883290,9.7109000,6280.0000000,1.2100000
"1020.01",140706664,"FP",3.2889200,2458521.2910800,"2019-07-24 17:08:12","2021-10-29 12:59:15",128.3819760,-43.8284210,10.7173000,8734.2000000,
"1021.01",143994283,"FP",1.9087900,2458492.9042900,"2019-07-24 17:08:12","2021-10-29 12:59:15",119.3007500,-42.9991490,10.5551000,6022.6000000,1.2200000
"1022.01",47384844,"FA",3.0957400,2458547.4480000,"2019-06-04 14:32:44","2023-06-06 12:02:56",162.9649100,-5.7887080,8.7292400,6084.0000000,1.4100000
"1023.01",238374636,"FP",1.3214483,2459303.3039690,"2019-07-24 18:44:12","2021-12-07 16:02:02",120.8376880,-51.3456260,9.6970000,5050.8000000,2.9900000
"1024.01",141482386,"FP",18.0157000,2458339.7227600,"2019-07-24 18:44:12","2021-10-29 12:59:15",86.8207140,-72.4226110,10.0814000,4709.0000000,7.6100000
"1025.01",297967252,"FP",9.6837908,2460733.6866880,"2019-07-24 18:44:12","2025-12-11 10:08:01",142.5211590,-51.5171140,5.5324000,8598.7000000,
"1026.01",388624270,"FP",14.2628757,2460720.8076740,"2019-06-11 14:45:00","2025-09-02 16:00:02",125.4346340,-51.7594420,9.9138000,5690.0000000,0.8538980
"1027.01",20318757,"PC",3.2834565,2460037.8690500,"2019-07-24 18:44:12","2023-06-05 12:03:22",167.1332750,-29.6531350,10.2103000,4272.0000000,0.6800000
"1027.02",20318757,"PC",11.0287500,2460032.5332500,"2021-06-03 22:37:59","2024-09-01 12:02:56",167.1332750,-29.6531350,10.2103000,4272.0000000,0.6800000
"1027.03",20318757,"PC",5.0113292,2460032.5730400,"2023-05-18 23:08:27","2023-06-05 12:03:22",167.1332750,-29.6531350,10.2103000,4272.0000000,0.6800000
"1028.01",447283466,"FP",1.0160600,2458544.4806600,"2019-07-24 18:44:12","2021-10-29 12:59:15",157.0983370,-51.7054090,7.9059000,4634.0000000,0.6800000
"1029.01",374908020,"FP",36.2221400,2458365.8931300,"2019-06-11 14:45:03","2021-12-07 16:02:02",88.7390900,-65.9588390,6.8410000,,
"103.01",336732616,"KP",3.5478540,2458327.2525600,"2018-09-05 18:49:20","2024-09-07 10:08:02",312.4574880,-24.4286940,11.5232000,6351.0000000,1.4000000
"1030.01",464296022,"FP",12.1246519,2460054.7839370,"2019-07-24 18:44:12","2023-05-31 10:10:01",155.8314780,-57.5902480,9.5706000,4807.6000000,1.0700000
"1031.01",304021498,"FP",5.6526230,2459304.8379390,"2019-06-25 15:58:39","2024-09-19 10:08:01",140.8838900,-67.0260060,9.7318000,6415.4000000,1.9200000
"1032.01",146589986,"PC",5.6643704,2459283.8286850,"2019-07-24 18:44:12","2024-01-17 10:08:02",159.2215060,-42.5416390,9.7611000,10395.0000000,2.3383701
"1033.01",149601557,"FP",29.0161646,2460717.3985800,"2019-06-11 14:45:00","2025-10-08 16:00:02",87.2825860,-60.4984440,10.0163000,6113.1000000,2.0100000
"1034.01",400595342,"FP",3.6404389,2460768.6174270,"2019-07-24 18:44:12","2025-09-05 10:08:01",134.4417520,-49.0005780,9.8174000,9810.0000000,1.6077600
