toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad,label
130.01,263003176,CP,14.3392144,2458336.557651,2018-09-05 18:34:18,2024-09-18 10:08:02,12.546778,-83.743767,7.4371,6295.7,1.1374201,1
1759.01,408636441,CP,18.8500438,2460404.266149,2020-02-27 22:12:19,2024-11-15 16:02:02,326.851662,62.753816,9.92838,3960.0,0.63,1
7510.03,118798035,CP,48.8621728,2460794.945415,2025-10-16 23:07:41,2025-10-17 12:03:54,273.728188,-54.434055,11.2937,5586.0,1.079,1
137.01,176957796,FA,4.8173797,2459199.440315,2018-09-05 18:34:18,2021-12-08 10:10:01,101.297491,-66.238326,10.702,4651.0,0.69,0
1489.01,219751469,FA,6.98301,2458690.04921,2019-12-05 21:41:09,2023-02-07 12:02:47,261.199848,61.423521,8.2285,5118.0,8.4,0
6656.01,262457587,FA,0.8219466,2460854.857123,2023-09-21 21:31:27,2026-07-31 10:08:02,228.840425,-70.532562,10.318,3866.3,,0
156.01,220518305,FP,14.1520377,2460968.40875,2018-09-05 18:34:59,2026-04-18 10:08:02,41.467598,-64.320687,10.294,5823.9,1.28,0
1525.01,276380902,FP,0.6171788,2460421.693989,2019-12-05 21:41:10,2024-07-26 10:08:01,308.065776,58.328901,10.3202,9603.0,3.14,0
7527.01,187495621,FP,3.2662137,2460658.088959,2025-10-30 21:07:48,2026-07-25 16:00:02,77.920369,41.175704,11.6429,8269.68,2.35388,0
