epoch,train_loss,validation_pr_auc
1.0,0.8592154294252395,0.5342768292199263
2.0,0.8443749755620956,0.5184670071204607
3.0,0.8457409650087356,0.5274177298895313
4.0,0.8232643365859985,0.5406324604463442
5.0,0.8073934763669968,0.5214185435210856
6.0,0.7928146183490753,0.5461752173127932
7.0,0.7894019216299057,0.5598530148157366
8.0,0.7794763803482055,0.49820217636414554
9.0,0.775940454006195,0.5533859427324044
10.0,0.7558761298656463,0.5794735578699111
11.0,0.7496080279350281,0.5784515132811853
12.0,0.7537287712097168,0.554501296306531
13.0,0.7342499792575836,0.5391840630743163
14.0,0.7187003046274185,0.5654547302707383
15.0,0.7247276663780212,0.5467512132959161
16.0,0.7162558406591415,0.5616041435329588
