epoch,train_loss,validation_pr_auc
1.0,0.8812654068072637,0.4279928316250563
2.0,0.8228878676891327,0.46717946859017045
3.0,0.8491576611995697,0.48014627067424875
4.0,0.832767645517985,0.48633142976571103
5.0,0.850780670841535,0.49097107212187296
6.0,0.8259003758430481,0.4999996056456881
7.0,0.8057306706905365,0.44565168560006313
8.0,0.8068517992893854,0.49065034257083107
9.0,0.7963388711214066,0.47986117080358015
10.0,0.8311576992273331,0.4871711093219261
11.0,0.8543529560168585,0.4745282743204438
12.0,0.7959851374228796,0.4463423624037073
