epoch,train_loss,validation_pr_auc
1.0,0.8616728454828262,0.5056585104061917
2.0,0.8476851522922516,0.44537352584866247
3.0,0.8393256843090058,0.46891389702030495
4.0,0.8264067649841309,0.46707076171818074
5.0,0.8287178933620453,0.48215041143099946
6.0,0.8200201332569123,0.5181069868654731
7.0,0.8086988359689713,0.5230406182524225
8.0,0.7938315540552139,0.5424541115066298
9.0,0.7867837250232697,0.5722074166824959
10.0,0.7796237736940383,0.505517144240266
11.0,0.7881296217441559,0.5572320304865765
12.0,0.7636797457933426,0.5563031868487729
13.0,0.7428596317768097,0.5589249304449528
14.0,0.7421642154455185,0.5501449326348383
15.0,0.7297717452049255,0.5234287764277146
