toi,tid,split,label,disposition,stage1_score,stage2_score,error_type
5133.01,312221462,test,0,FP,0.718708336353302,0.7450868138491666,false_positive
6711.01,303364023,test,0,FP,0.666574239730835,0.7309197669133707,false_positive
6693.01,35377903,test,0,FP,0.6632381081581116,0.727217274729463,false_positive
5616.01,154220877,test,1,CP,0.2249201089143753,0.1943538657901084,false_negative
6383.01,328513434,test,1,CP,0.2764622867107391,0.2056894755742938,false_negative
5747.01,4918918,test,1,CP,0.2166260033845901,0.2075615870083498,false_negative
