epoch,train_loss,validation_pr_auc
1.0,0.8650556296110153,0.4929471181342053
2.0,0.8429310023784637,0.4402040427295481
3.0,0.8387953877449036,0.4626802554539231
4.0,0.8316361218690872,0.49674931281751056
5.0,0.8184528619050979,0.5162171363601563
6.0,0.8215423077344894,0.48666457145139697
7.0,0.8080190300941468,0.5083250334339571
8.0,0.7853030174970627,0.5094807660350632
9.0,0.7763864010572433,0.505648420604268
10.0,0.7833275228738785,0.5204460816211867
11.0,0.7579181402921676,0.5465093074886637
12.0,0.7504744231700897,0.5337598827055752
13.0,0.7386850833892822,0.5269730130601981
14.0,0.7301748603582382,0.5155938307946215
15.0,0.7122572049498558,0.543549672024739
16.0,0.7144725322723389,0.5231742290444802
17.0,0.719072687625885,0.534089111402288
