model,validation_threshold,validation_recall,test_recall,test_false_positives,test_false_positive_rate
baseline,0.3435787541915347,0.9026548672566371,0.8085106382978723,81,0.5625
stage1,0.34505078196525574,0.9026548672566371,0.851063829787234,87,0.6041666666666667
stage2,0.3425295851252444,0.9026548672566371,0.7163120567375887,70,0.48611111111111116
