epoch,train_loss,validation_pr_auc
1.0,0.8720373836430636,0.4908236086455187
2.0,0.8532572171904824,0.48992476076772096
3.0,0.853744013742967,0.5326834840054661
4.0,0.8377308032729409,0.5326841846928384
5.0,0.832434746352109,0.5305482137432421
6.0,0.8162131634625521,0.5492960049891865
7.0,0.8019261251796376,0.5174485099311962
8.0,0.7816168611699884,0.5220839537068647
9.0,0.7836520292542197,0.5088484082822832
10.0,0.7516691467978738,0.5120071326939263
11.0,0.7441106113520536,0.521089913961782
12.0,0.7371851422569968,0.5109034664784919
