model,roc_auc,pr_auc,precision,recall,f1,specificity,false_positive_rate,true_negatives,false_positives,false_negatives,true_positives,threshold
BLS/diagnostic baseline,0.6878940110323087,0.6827836005729453,0.5846153846153846,0.8085106382978723,0.6785714285714286,0.4375,0.5625,63,81,27,114,0.3435787541915347
Stage 1 global/local CNN,0.6890760441292356,0.6642902263794239,0.5797101449275363,0.851063829787234,0.689655172413793,0.3958333333333333,0.6041666666666667,57,87,21,120,0.34505078196525574
Stage 2 diagnostics only,0.6878940110323087,0.6827836005729453,0.5846153846153846,0.8085106382978723,0.6785714285714286,0.4375,0.5625,63,81,27,114,0.3435787541915347
Stage 1 score + Stage 2 diagnostics,0.7113869188337274,0.718936307295241,0.5906432748538012,0.7163120567375887,0.6474358974358976,0.5138888888888888,0.48611111111111116,74,70,40,101,0.3425295851252444
